player_id,player_name,age,position,team,matches_played,minutes_played,goals,assists,yellow_cards,red_cards,market_value_million_eur,overall_rating,potential,rating_last_season,injury_days_per_season,monthly_salary_k_eur,nationality,tactical_profile,contract_years_remaining,expected_transfer_fee_million_eur,agent_fee_million_eur,xG,xA,market_value_next_season_million_eur,goals_per90,assists_per90,value_efficiency,potential_upside,disciplinary_index
35,Karim Ibrahim,28,Defender,Napoli,35,3150,1,1,8,0,30.35,60,69,59,21,521.3,Croatia,Overlapping Fullback,5,35.23,1.39,1.16,0.27,31.81,0.02857142857142857,0.02857142857142857,0.06589785831960461,9,8
36,Gavi Petrović,26,Defender,AC Milan,26,2367,2,0,6,0,39.01,67,76,62,0,662.1,Netherlands,Overlapping Fullback,2,57.42,3.63,0.99,0.03,42.52,0.07604562737642585,0.0,0.05126890540886953,9,6
37,Jude Ramírez,28,Forward,Bayern Munich,6,617,3,1,11,0,43.41,71,76,68,32,486.1,Italy,Poacher,4,59.48,2.36,4.23,1.73,42.8,0.4376012965964344,0.1458670988654781,0.09214466712739001,5,11
38,Luka Bennacer,18,Midfielder,Porto,28,2522,3,4,7,0,39.26,65,69,61,15,467.0,USA,Box-to-Box,3,58.3,5.61,2.61,3.69,39.65,0.1070578905630452,0.1427438540840603,0.1782985226693836,4,7
39,Victor Alvarez,19,Forward,Porto,21,1897,6,4,6,0,57.4,78,87,77,10,739.4,Germany,Inverted Winger,2,70.97,4.54,6.16,5.29,61.42,0.2846599894570374,0.1897733263046916,0.1742160278745645,9,6
40,Mateo Fernandes,22,Goalkeeper,Juventus,27,2487,2,3,0,1,56.28,80,90,82,9,497.5,Nigeria,Shot Stopper,2,73.97,6.71,2.5,4.04,60.89,0.07237635705669482,0.1085645355850422,0.08884150675195451,10,3
41,Thiago Fernandes,19,Midfielder,Benfica,18,1682,2,2,12,0,48.38,74,79,70,1,509.1,Portugal,Box-to-Box,1,55.2,1.73,2.24,3.52,50.7,0.1070154577883472,0.1070154577883472,0.0826787928896238,5,12
42,Martin Suárez,28,Defender,Juventus,14,1312,2,1,3,0,38.5,66,76,66,0,399.8,Serbia,Central Defender,5,51.47,1.96,2.17,0.01,42.35,0.1371951219512195,0.06859756097560976,0.07792207792207792,10,3
43,Victor Ramírez,30,Midfielder,Inter Milan,8,769,2,1,12,0,30.23,58,63,59,0,416.8,England,Advanced Playmaker,1,47.29,3.32,2.88,1.0,31.74,0.2340702210663199,0.1170351105331599,0.09923916639100232,5,12
44,Bruno Moreno,27,Midfielder,RB Leipzig,17,1535,4,3,10,0,47.2,72,74,74,20,541.5,Spain,Pressing Midfielder,4,62.03,3.47,5.54,2.46,46.26,0.2345276872964169,0.1758957654723127,0.1483050847457627,2,10
45,Gavi Ramos,29,Forward,Atalanta,19,1783,7,7,10,0,49.02,69,77,69,9,605.6,Morocco,Inverted Winger,5,71.91,7.02,8.9,9.54,52.06,0.353337072349972,0.353337072349972,0.2855977152182783,8,10
46,Alex Silva,23,Forward,Atalanta,14,1305,7,0,1,0,42.68,68,76,67,29,661.7,Croatia,Inside Forward,4,59.11,4.54,4.27,0.84,43.62,0.4827586206896552,0.0,0.1640112464854733,8,1
47,Jude Kovačević,25,Forward,Ajax,15,1358,0,0,5,0,42.66,73,83,71,35,578.4,USA,Inside Forward,4,57.95,2.51,0.34,0.01,43.94,0.0,0.0,0.0,10,5
48,Andrés Torres,36,Midfielder,Atalanta,25,2310,1,5,7,0,42.92,69,71,67,11,438.5,Serbia,Pressing Midfielder,5,62.06,3.19,0.52,4.54,42.83,0.03896103896103896,0.1948051948051948,0.1397949673811743,2,7
49,Thiago Petrović,19,Midfielder,PSG,35,3178,3,7,7,0,55.85,78,83,77,29,514.2,Italy,Advanced Playmaker,4,66.81,2.56,3.33,9.83,55.4,0.08495909376966645,0.1982378854625551,0.1790510295434199,5,7
50,Enzo Silva,19,Forward,Bayern Munich,30,2714,3,7,12,0,47.43,70,75,71,0,774.4,Netherlands,Poacher,1,59.2,3.27,2.04,10.63,49.8,0.09948415622697127,0.2321296978629329,0.2108370229812355,5,12
51,Karim Alvarez,23,Midfielder,PSG,35,3156,2,3,2,0,47.33,74,82,75,34,791.7,France,Deep-Lying Playmaker,4,65.65,4.13,1.03,3.19,47.9,0.05703422053231939,0.08555133079847908,0.1056412423410099,8,2
52,João Pérez,19,Forward,Manchester City,6,567,1,1,6,0,35.81,65,75,67,16,340.8,Ghana,Inside Forward,5,53.91,5.2,-0.49,0.93,38.25,0.1587301587301587,0.1587301587301587,0.05585032113934655,10,6
53,Pedro Petrović,21,Midfielder,Inter Milan,23,2113,1,1,4,0,43.41,71,78,69,0,594.1,Italy,Deep-Lying Playmaker,1,49.06,4.77,0.15,-0.05,46.45,0.04259346900141978,0.04259346900141978,0.04607233356369501,7,4
54,Jude Santos,29,Forward,Borussia Dortmund,11,1011,5,3,8,0,45.47,69,70,65,0,568.6,Morocco,Poacher,2,63.52,3.2,3.4,3.52,45.92,0.4451038575667656,0.2670623145400594,0.1759401803386849,1,8
55,Gavi Jović,33,Defender,Bayern Munich,31,2860,4,0,9,0,42.38,70,74,66,33,387.7,England,Ball-Playing Defender,2,51.38,2.08,4.95,0.46,41.28,0.1258741258741259,0.0,0.09438414346389806,4,9
56,Gavi Castro,18,Defender,Atalanta,30,2737,0,2,11,0,44.35,72,77,67,1,410.0,Morocco,Ball-Playing Defender,5,64.06,5.06,0.08,2.9,46.48,0.0,0.06576543660942638,0.04509582863585118,5,11
57,Andrés Ortega,26,Forward,Arsenal,22,2069,6,2,11,0,42.0,66,71,68,6,374.4,Netherlands,Poacher,2,66.4,5.88,3.38,2.89,43.6,0.2609956500724988,0.08699855002416627,0.1904761904761905,5,11
58,Daniel Flores,22,Midfielder,RB Leipzig,32,2968,5,1,7,1,55.25,78,81,74,1,792.7,Croatia,Box-to-Box,2,74.36,2.71,6.35,0.7,56.8,0.1516172506738545,0.03032345013477089,0.1085972850678733,3,10
59,Pedro Petrović,26,Midfielder,Porto,34,3141,1,6,7,0,37.91,65,72,59,34,317.2,Spain,Pressing Midfielder,4,43.37,2.07,0.61,1.71,37.99,0.02865329512893983,0.171919770773639,0.1846478501714587,7,7
60,Enzo Suárez,26,Forward,Atalanta,26,2423,8,5,5,0,51.25,72,80,67,27,799.5,Brazil,Poacher,5,61.59,4.22,7.54,2.06,52.58,0.2971522905489064,0.1857201815930665,0.2536585365853659,8,5
61,Karim Martínez,21,Defender,Bayern Munich,10,948,1,0,4,0,51.36,79,88,75,29,458.8,USA,Attacking Fullback,5,81.98,7.7,1.18,-0.5,53.0,0.0949367088607595,0.0,0.01947040498442367,9,4
62,Bruno Kovačević,27,Defender,Bayern Munich,22,2001,5,1,7,1,38.73,64,68,59,0,523.3,England,Attacking Fullback,4,50.03,4.73,5.67,1.39,40.28,0.2248875562218891,0.04497751124437781,0.1549186676994578,4,10
63,Samuel Rodríguez,30,Midfielder,Sporting CP,26,2379,2,4,4,0,44.91,71,76,69,22,735.4,USA,Deep-Lying Playmaker,3,62.42,4.76,1.08,5.8,45.18,0.07566204287515763,0.1513240857503153,0.1336005344021376,5,4
64,Samuel Petrović,29,Midfielder,Ajax,28,2525,1,2,6,0,37.85,66,72,65,9,674.0,France,Deep-Lying Playmaker,4,46.15,2.62,1.21,1.26,39.44,0.03564356435643564,0.07128712871287128,0.07926023778071334,6,6
65,Alex Bennacer,26,Defender,Manchester City,20,1861,2,1,6,1,46.83,74,77,69,20,826.5,Morocco,Ball-Playing Defender,5,54.47,5.31,2.33,1.51,46.36,0.09672219236969372,0.04836109618484686,0.06406149903907751,3,9
66,Sergio Ramírez,20,Defender,Real Madrid,4,362,0,0,11,0,41.86,71,74,72,3,531.4,Croatia,Overlapping Fullback,3,66.33,3.56,0.39,-0.17,42.86,0.0,0.0,0.0,3,11
67,David García,25,Midfielder,Ajax,25,2298,0,3,8,0,42.56,71,73,70,25,609.1,Brazil,Box-to-Box,4,66.41,6.63,-0.13,3.01,41.28,0.0,0.1174934725848564,0.07048872180451128,2,8
68,Mohamed Ortega,36,Forward,PSG,16,1526,4,1,0,0,36.58,64,65,62,27,423.8,Germany,Inside Forward,1,48.12,2.27,6.24,1.55,34.97,0.235910878112713,0.05897771952817824,0.1366867140513942,1,0
69,Diego Silva,21,Midfielder,Sporting CP,20,1866,0,2,9,0,33.63,64,72,64,34,347.1,Belgium,Advanced Playmaker,1,47.72,2.97,0.28,1.06,34.03,0.0,0.09646302250803858,0.05947071067499256,8,9
70,Samuel Vargas,20,Midfielder,Manchester City,19,1715,1,3,9,0,53.05,78,85,76,5,666.8,Portugal,Pressing Midfielder,5,66.37,6.63,1.62,2.67,56.23,0.05247813411078717,0.1574344023323615,0.07540056550424129,7,9
71,Marco Zieliński,21,Midfielder,Atalanta,16,1511,3,3,11,0,52.96,77,84,75,13,428.0,Belgium,Advanced Playmaker,5,81.16,6.86,3.02,2.5,55.29,0.1786896095301125,0.1786896095301125,0.1132930513595166,7,11
72,Enzo Novak,20,Defender,Sporting CP,13,1197,1,0,10,0,27.22,57,62,57,13,388.8,France,Attacking Fullback,2,42.24,3.18,0.68,-0.2,27.87,0.07518796992481203,0.0,0.03673769287288758,5,10
73,Bruno Castro,28,Forward,Juventus,16,1508,5,0,5,0,53.6,78,81,77,22,499.6,Germany,Target Forward,4,73.42,7.2,4.65,-0.38,52.85,0.2984084880636604,0.0,0.09328358208955223,3,5
74,Samuel Ibrahim,31,Goalkeeper,Porto,16,1508,0,4,11,0,41.42,69,71,64,13,730.2,Serbia,Sweeper Keeper,4,48.48,4.73,-0.17,2.46,41.17,0.0,0.2387267904509284,0.09657170449058425,2,11
75,Jude Vargas,25,Forward,Arsenal,27,2497,7,5,1,0,46.01,67,72,63,0,746.5,Croatia,Inside Forward,1,72.24,2.72,9.34,5.98,48.31,0.2523027633159792,0.1802162595114137,0.2608128667680939,5,1
76,Rafael Martínez,26,Midfielder,Manchester City,24,2201,3,3,11,0,54.9,78,85,79,0,515.9,Portugal,Advanced Playmaker,4,86.36,4.43,4.04,1.77,58.74,0.1226715129486597,0.1226715129486597,0.1092896174863388,7,11
77,Pablo Martínez,30,Midfielder,Atalanta,33,3046,1,5,11,0,50.28,75,84,71,8,697.6,Ghana,Deep-Lying Playmaker,1,73.57,6.77,0.04,5.17,54.0,0.02954694681549573,0.1477347340774787,0.1193317422434367,9,11
78,Pablo Torres,26,Midfielder,Barcelona,13,1189,0,2,7,0,41.03,70,74,67,20,369.0,Nigeria,Deep-Lying Playmaker,2,59.2,4.03,0.15,3.02,41.03,0.0,0.1513877207737595,0.04874482086278333,4,7
79,Ousmane Ortega,23,Goalkeeper,Inter Milan,24,2162,3,1,1,0,48.52,75,85,77,27,412.7,England,Sweeper Keeper,5,61.46,6.1,1.03,0.99,50.75,0.1248843663274746,0.04162812210915819,0.08244023083264633,10,1
80,Thiago López,26,Forward,PSG,13,1254,1,3,5,0,56.07,81,91,83,24,604.0,Brazil,Poacher,2,89.26,8.85,-0.08,2.9,58.99,0.07177033492822966,0.215311004784689,0.07133939718209381,10,5
81,David García,25,Forward,Atalanta,14,1274,12,1,9,0,69.68,86,89,84,43,594.0,Morocco,Target Forward,5,102.49,6.85,10.7,-0.22,65.78,0.847723704866562,0.0706436420722135,0.1865671641791045,3,9
82,Enzo Suárez,24,Midfielder,Arsenal,23,2151,2,5,8,0,50.23,74,84,76,0,767.1,France,Pressing Midfielder,4,78.08,5.94,2.31,7.39,55.25,0.08368200836820085,0.2092050209205021,0.1393589488353574,10,8
83,Lucas López,24,Midfielder,RB Leipzig,8,742,0,0,7,0,34.11,65,73,66,22,579.6,Nigeria,Deep-Lying Playmaker,4,43.01,1.74,0.65,-0.46,35.34,0.0,0.0,0.0,8,7
84,Jude Flores,20,Midfielder,RB Leipzig,22,2062,0,1,1,0,41.31,71,73,65,26,628.3,Morocco,Pressing Midfielder,4,49.88,3.07,-0.39,1.46,39.99,0.0,0.04364694471387003,0.02420721374969741,2,1
85,João Jović,31,Defender,Real Madrid,17,1580,4,0,6,0,28.41,55,60,52,0,498.2,England,Overlapping Fullback,1,41.01,2.59,3.57,0.25,29.83,0.2278481012658228,0.0,0.1407954945441746,5,6
86,Samuel Ibrahim,22,Defender,Ajax,20,1826,3,1,12,0,51.51,77,78,71,18,701.4,France,Attacking Fullback,5,73.92,4.34,3.49,2.06,50.17,0.1478641840087623,0.04928806133625411,0.07765482430596,1,12
87,Daniel Martínez,33,Forward,Juventus,8,724,3,1,9,0,37.9,66,69,61,28,388.2,Portugal,Inverted Winger,5,43.74,3.9,3.49,0.12,36.91,0.3729281767955801,0.1243093922651934,0.1055408970976253,3,9
88,Luka Hernández,20,Goalkeeper,Juventus,31,2846,0,7,9,0,45.01,71,80,73,24,634.2,Belgium,Shot Stopper,3,64.32,5.05,-0.79,4.95,46.9,0.0,0.2213633169360506,0.1555209953343701,9,9
89,Bruno González,18,Forward,Porto,9,886,1,0,9,0,45.33,74,76,74,22,698.5,Ghana,Inverted Winger,3,71.89,2.62,1.76,-0.3,44.24,0.1015801354401806,0.0,0.02206044562100155,2,9
90,Marco Ibrahim,34,Forward,Real Madrid,17,1576,1,1,11,0,36.65,66,76,67,21,616.9,Netherlands,Inverted Winger,4,43.17,3.57,0.77,1.8,38.78,0.05710659898477157,0.05710659898477157,0.05457025920873124,10,11
91,Andrés Vargas,18,Midfielder,Napoli,23,2110,0,4,6,0,45.41,73,82,74,28,520.0,Belgium,Box-to-Box,2,52.47,4.07,-0.44,3.08,46.95,0.0,0.1706161137440758,0.08808632459810616,9,6
92,Pedro Silva,27,Midfielder,Atalanta,30,2754,2,4,0,0,49.88,75,80,74,20,781.8,Ghana,Advanced Playmaker,2,73.93,3.72,1.39,3.77,50.38,0.06535947712418301,0.130718954248366,0.1202886928628709,5,0
93,Karim Zieliński,18,Midfielder,Real Madrid,35,3182,2,2,3,0,50.93,76,82,77,0,609.7,Croatia,Pressing Midfielder,5,74.92,4.54,2.39,1.81,53.99,0.05656819610307982,0.05656819610307982,0.0785391714117416,6,3
94,Karim Jović,24,Midfielder,Benfica,32,2922,2,6,6,0,50.83,74,81,76,0,897.8,England,Pressing Midfielder,1,60.28,5.81,1.33,4.46,54.39,0.06160164271047228,0.1848049281314168,0.1573873696635845,7,6
95,João Castro,21,Forward,Manchester City,30,2712,14,6,6,0,71.86,83,90,81,7,1110.8,Italy,Target Forward,3,87.01,7.36,17.38,5.59,75.88,0.4646017699115044,0.1991150442477876,0.2783189535207348,7,6
96,Pablo García,35,Defender,PSG,32,2943,1,2,2,0,25.66,55,58,53,31,255.9,USA,Overlapping Fullback,5,35.95,2.99,1.11,2.56,24.84,0.03058103975535168,0.06116207951070336,0.1169134840218238,3,2
97,João Vargas,26,Defender,Sporting CP,23,2138,0,2,10,1,37.26,67,77,64,27,620.1,Belgium,Attacking Fullback,5,52.67,2.14,0.15,2.41,38.97,0.0,0.08419083255378858,0.05367686527106817,10,13
98,Samuel Bennacer,19,Forward,Real Madrid,26,2378,8,5,1,0,53.43,74,82,76,32,457.8,Nigeria,Inverted Winger,5,80.99,2.86,6.58,9.23,54.28,0.302775441547519,0.1892346509671993,0.24330900243309,8,1
99,Marco Suárez,18,Midfielder,Manchester City,5,468,0,0,7,1,44.73,74,84,73,18,501.7,Croatia,Box-to-Box,5,59.84,2.43,-0.28,0.03,47.59,0.0,0.0,0.0,10,10
100,Enzo Ramírez,21,Midfielder,Ajax,5,460,1,0,3,0,40.48,70,78,64,23,535.4,Croatia,Box-to-Box,3,47.74,2.68,0.92,0.32,41.86,0.1956521739130435,0.0,0.02470355731225297,8,3
101,Samuel Rodríguez,18,Forward,RB Leipzig,7,687,2,3,8,0,52.85,78,83,76,25,805.3,England,Inside Forward,3,75.48,7.05,2.68,3.29,52.85,0.2620087336244541,0.3930131004366812,0.0946073793755913,5,8
102,Benjamin Rodríguez,34,Forward,Napoli,33,2987,7,8,11,0,55.98,74,77,75,1,621.1,England,Inverted Winger,5,72.12,6.16,6.19,8.45,57.55,0.2109139604954804,0.241044526280549,0.2679528403001072,3,11
103,Lucas Rodríguez,23,Midfielder,Real Madrid,19,1785,3,2,4,0,39.71,67,71,64,26,694.0,Belgium,Box-to-Box,5,53.34,2.45,2.94,1.56,39.23,0.1512605042016807,0.1008403361344538,0.1259128682951398,4,4
104,Sergio Petrović,22,Defender,PSG,27,2456,2,0,0,0,52.3,78,88,78,0,730.8,Morocco,Ball-Playing Defender,4,61.56,2.63,2.49,-0.22,57.53,0.0732899022801303,0.0,0.03824091778202677,10,0
105,Rafael Hakimi,31,Midfielder,Inter Milan,14,1272,2,2,7,0,43.13,70,78,69,10,575.4,Serbia,Pressing Midfielder,4,54.12,4.69,0.91,1.41,45.72,0.1415094339622641,0.1415094339622641,0.09274287039183862,8,7
106,Pablo Vargas,27,Defender,Benfica,20,1864,1,1,8,0,41.81,71,74,70,32,669.5,Brazil,Ball-Playing Defender,3,48.88,2.32,0.95,1.72,40.39,0.0482832618025751,0.0482832618025751,0.04783544606553456,3,8
107,Benjamin Suárez,27,Forward,Benfica,10,956,3,2,4,0,39.2,66,75,66,14,639.4,Spain,Inverted Winger,1,44.92,4.21,2.82,3.94,41.63,0.2824267782426778,0.1882845188284519,0.1275510204081633,9,4
108,Sergio Moreno,28,Midfielder,RB Leipzig,20,1831,0,6,3,0,46.25,72,74,69,11,473.8,Argentina,Advanced Playmaker,1,58.24,2.15,0.07,3.08,46.16,0.0,0.2949208083014746,0.1297297297297297,2,3
109,Martin Jović,21,Forward,Bayern Munich,24,2235,4,4,11,0,42.56,67,75,62,9,602.4,Ghana,Poacher,3,66.09,2.07,2.8,3.69,45.2,0.1610738255033557,0.1610738255033557,0.1879699248120301,8,11
110,Thiago Silva,21,Forward,Napoli,8,799,2,2,0,0,51.95,78,88,73,31,448.2,Portugal,Inside Forward,3,78.88,5.13,2.86,2.0,53.92,0.2252816020025031,0.2252816020025031,0.07699711260827719,10,0
111,João Castro,22,Midfielder,Napoli,31,2818,4,4,5,0,40.5,66,73,66,28,593.1,Spain,Pressing Midfielder,4,46.28,4.55,3.12,3.72,41.07,0.127750177430802,0.127750177430802,0.1975308641975309,7,5
112,Pablo Martínez,19,Forward,RB Leipzig,20,1884,7,5,5,0,65.26,83,84,80,15,1036.7,Argentina,Poacher,3,83.04,6.75,8.81,4.48,63.95,0.3343949044585987,0.2388535031847134,0.1838798651547655,1,5
113,Antoine Suárez,19,Midfielder,Barcelona,32,2932,3,6,2,0,41.25,66,74,61,21,590.6,Belgium,Advanced Playmaker,1,62.11,2.14,3.19,2.57,42.82,0.09208731241473397,0.1841746248294679,0.2181818181818182,8,2
114,Antoine Moreno,26,Defender,Inter Milan,5,471,0,0,5,1,45.28,75,84,71,32,810.1,Belgium,Attacking Fullback,1,62.1,2.96,-0.94,0.26,46.46,0.0,0.0,0.0,9,8
115,Victor Alvarez,23,Defender,PSG,18,1659,4,1,4,0,36.38,63,69,59,10,614.6,USA,Overlapping Fullback,3,53.54,4.96,4.47,0.3,37.84,0.216998191681736,0.054249547920434,0.1374381528312259,6,4
116,Enzo Alvarez,19,Defender,Manchester City,26,2426,2,0,4,0,43.65,72,79,73,23,537.2,England,Attacking Fullback,3,69.73,2.97,1.67,0.26,44.7,0.0741962077493817,0.0,0.04581901489117984,7,4
117,Nico Flores,24,Forward,Juventus,30,2768,7,5,11,0,34.78,58,66,55,37,433.8,France,Poacher,4,50.9,4.78,12.03,7.05,34.99,0.2276011560693642,0.1625722543352601,0.3450258769407705,8,11
